지점,지점명,일시,기온(°C),강수량(mm),습도(%)
400,강남,2019-01-01 00:00,-2.9,0,56
400,강남,2019-01-01 01:00,-3.7,0,55
400,강남,2019-01-01 02:00,-4.1,0,49
400,강남,2019-01-01 03:00,-4.4,0,48
400,강남,2019-01-01 04:00,-4.8,0,60
400,강남,2019-01-01 05:00,-5.1,0,62
400,강남,2019-01-01 06:00,-5.4,0,52
400,강남,2019-01-01 07:00,-5.6,0,53
400,강남,2019-01-01 08:00,-6.8,0,64
400,강남,2019-01-01 09:00,-5.5,0,62
400,강남,2019-01-01 10:00,-4.1,0,49
400,강남,2019-01-01 11:00,-3.3,0,46
400,강남,2019-01-01 12:00,-3.1,0,49
400,강남,2019-01-01 13:00,-1.7,0,52
400,강남,2019-01-01 14:00,-1.4,0,52
400,강남,2019-01-01 15:00,-.9,0,48
400,강남,2019-01-01 16:00,-1.5,0,50
400,강남,2019-01-01 17:00,-1.7,0,49
400,강남,2019-01-01 18:00,-1.8,0,52
400,강남,2019-01-01 19:00,-2,0,44
400,강남,2019-01-01 20:00,-2.6,0,43
400,강남,2019-01-01 21:00,-3.3,0,39
400,강남,2019-01-01 22:00,-4.2,0,41
400,강남,2019-01-01 23:00,-4.7,0,44
400,강남,2019-01-02 00:00,-4.9,0,47
400,강남,2019-01-02 01:00,-5.1,0,48
400,강남,2019-01-02 02:00,-5.3,0,50
400,강남,2019-01-02 03:00,-5.3,0,52
400,강남,2019-01-02 04:00,-5.4,0,50
400,강남,2019-01-02 05:00,-5.9,0,58
400,강남,2019-01-02 06:00,-6.2,0,57
400,강남,2019-01-02 07:00,-6.5,0,62
400,강남,2019-01-02 08:00,-7,0,66
400,강남,2019-01-02 09:00,-6.9,0,66
400,강남,2019-01-02 10:00,-5.6,0,57
400,강남,2019-01-02 11:00,-3.4,0,38
400,강남,2019-01-02 12:00,-2.1,0,30
400,강남,2019-01-02 13:00,-1.7,0,29
400,강남,2019-01-02 14:00,-.9,0,24
400,강남,2019-01-02 15:00,-.7,0,23
400,강남,2019-01-02 16:00,-.3,0,24
400,강남,2019-01-02 17:00,-1,0,28
400,강남,2019-01-02 18:00,-1.4,0,32
400,강남,2019-01-02 19:00,-1.8,0,38
400,강남,2019-01-02 20:00,-2.1,0,38
400,강남,2019-01-02 21:00,-2.1,0,41
400,강남,2019-01-02 22:00,-2.3,0,47
400,강남,2019-01-02 23:00,-2.8,0,45
400,강남,2019-01-03 00:00,-3.5,0,41
400,강남,2019-01-03 01:00,-4.1,0,44
400,강남,2019-01-03 02:00,-4.2,0,45
400,강남,2019-01-03 03:00,-4.5,0,47
400,강남,2019-01-03 04:00,-5,0,51
400,강남,2019-01-03 05:00,-5.1,0,51
400,강남,2019-01-03 06:00,-5.4,0,54
400,강남,2019-01-03 07:00,-5.7,0,54
400,강남,2019-01-03 08:00,-6.5,0,60
400,강남,2019-01-03 09:00,-6.1,0,60
400,강남,2019-01-03 10:00,-4.5,0,53
400,강남,2019-01-03 11:00,-3.5,0,48
400,강남,2019-01-03 12:00,-1,0,29
400,강남,2019-01-03 13:00,-.2,0,22
400,강남,2019-01-03 14:00,1.9,0,20
400,강남,2019-01-03 15:00,2.1,0,18
400,강남,2019-01-03 16:00,2,0,19
400,강남,2019-01-03 17:00,1.5,0,19
400,강남,2019-01-03 18:00,1,0,21
400,강남,2019-01-03 19:00,1,0,22
400,강남,2019-01-03 20:00,.2,0,37
400,강남,2019-01-03 21:00,-.3,0,41
400,강남,2019-01-03 22:00,-.6,0,42
400,강남,2019-01-03 23:00,-.7,0,42
400,강남,2019-01-04 00:00,-1.2,0,46
400,강남,2019-01-04 01:00,-2.4,0,48
400,강남,2019-01-04 02:00,-2.9,0,51
400,강남,2019-01-04 03:00,-3.7,0,54
400,강남,2019-01-04 04:00,-4,0,50
400,강남,2019-01-04 05:00,-4.2,0,50
400,강남,2019-01-04 06:00,-4.8,0,59
400,강남,2019-01-04 07:00,-5.1,0,53
400,강남,2019-01-04 08:00,-5,0,51
400,강남,2019-01-04 09:00,-5.1,0,54
400,강남,2019-01-04 10:00,-3.2,0,47
400,강남,2019-01-04 11:00,-2,0,41
400,강남,2019-01-04 12:00,-.8,0,45
400,강남,2019-01-04 13:00,1.5,0,40
400,강남,2019-01-04 14:00,3,0,38
400,강남,2019-01-04 15:00,3.2,0,43
400,강남,2019-01-04 16:00,3.2,0,52
400,강남,2019-01-04 17:00,2.8,0,58
400,강남,2019-01-04 18:00,2.6,0,70
400,강남,2019-01-04 19:00,2.6,0,73
400,강남,2019-01-04 20:00,2.6,0,74
400,강남,2019-01-04 21:00,2.6,0,73
400,강남,2019-01-04 22:00,2.2,0,73
400,강남,2019-01-04 23:00,2,0,74
400,강남,2019-01-05 00:00,1.6,0,78
400,강남,2019-01-05 01:00,1,0,77
400,강남,2019-01-05 02:00,-.1,0,66
400,강남,2019-01-05 03:00,-.8,0,65
400,강남,2019-01-05 04:00,-1.5,0,56
400,강남,2019-01-05 05:00,-2,0,51
400,강남,2019-01-05 06:00,-2.4,0,47
400,강남,2019-01-05 07:00,-2.9,0,44
400,강남,2019-01-05 08:00,-3.1,0,44
400,강남,2019-01-05 09:00,-3.3,0,44
400,강남,2019-01-05 10:00,-2.7,0,43
400,강남,2019-01-05 11:00,-2.3,0,43
400,강남,2019-01-05 12:00,-1.9,0,38
400,강남,2019-01-05 13:00,-1.6,0,30
400,강남,2019-01-05 14:00,-.6,0,29
400,강남,2019-01-05 15:00,.3,0,25
400,강남,2019-01-05 16:00,.3,0,24
400,강남,2019-01-05 17:00,-.1,0,25
400,강남,2019-01-05 18:00,-.3,0,24
400,강남,2019-01-05 19:00,-.5,0,25
400,강남,2019-01-05 20:00,-1,0,26
400,강남,2019-01-05 21:00,-1.4,0,26
400,강남,2019-01-05 22:00,-1.7,0,29
400,강남,2019-01-05 23:00,-2.2,0,28
400,강남,2019-01-06 00:00,-2.5,0,28
400,강남,2019-01-06 01:00,-3,0,37
400,강남,2019-01-06 02:00,-3.4,0,39
400,강남,2019-01-06 03:00,-3.8,0,42
400,강남,2019-01-06 04:00,-4.3,0,42
400,강남,2019-01-06 05:00,-4,0,40
400,강남,2019-01-06 06:00,-4.1,0,42
400,강남,2019-01-06 07:00,-4.8,0,45
400,강남,2019-01-06 08:00,-4.6,0,43
400,강남,2019-01-06 09:00,-4.1,0,40
400,강남,2019-01-06 10:00,-3.3,0,40
400,강남,2019-01-06 11:00,-1.3,0,33
400,강남,2019-01-06 12:00,-.4,0,33
400,강남,2019-01-06 13:00,.2,0,27
400,강남,2019-01-06 14:00,1,0,25
400,강남,2019-01-06 15:00,1.7,0,27
400,강남,2019-01-06 16:00,1.6,0,22
400,강남,2019-01-06 17:00,1.2,0,29
400,강남,2019-01-06 18:00,.5,0,29
400,강남,2019-01-06 19:00,.2,0,34
400,강남,2019-01-06 20:00,-.5,0,42
